Instance_name	Avg_power	Pin_x	Pin_y	VDD_drop	Net_name
i_tv80_core_RegAddrC_reg_1_	6.19333e-05	16.884	24.9	0.878215	VDD
i_tv80_core_BusB_reg_3_	7.94133e-05	34.459	36.9	0.878552	VDD
i_tv80_core_BusB_reg_4_	7.03609e-05	33.201	34.5	0.878501	VDD
i_tv80_core_BusB_reg_5_	7.99028e-05	33.497	35.7	0.878712	VDD
i_tv80_core_BusB_reg_6_	6.3704e-05	34.089	39.3	0.878395	VDD
i_tv80_core_BusB_reg_7_	7.59787e-05	33.423	34.5	0.878501	VDD
i_tv80_core_RegBusA_r_reg_5_	2.45883e-05	23.655	36.9	0.87857	VDD
i_tv80_core_Auto_Wait_t1_reg	3.31067e-05	21.953	26.1	0.878516	VDD
i_tv80_core_tstate_reg_0_	7.83949e-05	26.689	17.7	0.878048	VDD
i_tv80_core_tstate_reg_1_	7.7184e-05	25.875	18.9	0.878047	VDD
i_tv80_core_tstate_reg_2_	6.92232e-05	25.949	20.1	0.877585	VDD
di_reg_reg_7_	9.99803e-05	29.427	18.9	0.87783	VDD
di_reg_reg_6_	9.4153e-05	29.131	20.1	0.877633	VDD
di_reg_reg_5_	0.000105183	28.391	21.3	0.87795	VDD
di_reg_reg_4_	0.00010201	29.797	17.7	0.8779	VDD
di_reg_reg_3_	0.000108305	29.131	16.5	0.877598	VDD
di_reg_reg_2_	9.59226e-05	28.983	15.3	0.878428	VDD
di_reg_reg_1_	0.00011542	28.243	17.7	0.877922	VDD
i_tv80_core_IStatus_reg_1_	2.84406e-05	25.727	6.9	0.877849	VDD
i_tv80_core_XY_State_reg_1_	7.61456e-05	24.247	9.3	0.878062	VDD
i_tv80_core_Read_To_Reg_r_reg_3_	4.00119e-05	27.873	26.1	0.87857	VDD
i_tv80_core_Read_To_Reg_r_reg_1_	3.93217e-05	28.983	24.9	0.878159	VDD
i_tv80_core_Z16_r_reg	3.37661e-05	29.057	22.5	0.878034	VDD
i_tv80_core_Save_ALU_r_reg	4.86527e-05	30.981	32.1	0.877972	VDD
i_tv80_core_Fp_reg_7_	2.97682e-05	40.379	30.9	0.878114	VDD
i_tv80_core_Fp_reg_2_	3.58807e-05	44.671	28.5	0.879075	VDD
i_tv80_core_Read_To_Reg_r_reg_4_	2.95376e-05	27.429	22.5	0.878158	VDD
i_tv80_core_TmpAddr_reg_0_	4.08246e-05	32.313	14.1	0.878787	VDD
i_tv80_core_TmpAddr_reg_1_	3.55805e-05	30.907	12.9	0.878053	VDD
i_tv80_core_TmpAddr_reg_2_	4.20915e-05	30.981	11.7	0.87824	VDD
i_tv80_core_TmpAddr_reg_3_	4.7241e-05	32.609	15.3	0.878707	VDD
i_tv80_core_TmpAddr_reg_4_	4.35085e-05	34.237	15.3	0.878624	VDD
i_tv80_core_TmpAddr_reg_5_	4.37117e-05	37.789	15.3	0.878638	VDD
i_tv80_core_BusA_reg_6_	0.000107	32.609	38.1	0.878503	VDD
i_tv80_core_SP_reg_6_	5.36414e-05	37.937	17.7	0.878178	VDD
i_tv80_core_ACC_reg_6_	6.83832e-05	44.671	24.9	0.878506	VDD
i_tv80_core_ACC_reg_5_	6.94639e-05	46.447	26.1	0.878887	VDD
i_tv80_core_I_reg_5_	4.11063e-05	43.709	18.9	0.878236	VDD
i_tv80_core_F_reg_4_	5.23385e-05	44.819	29.7	0.878909	VDD
i_tv80_core_SP_reg_1_	5.62001e-05	30.759	22.5	0.877973	VDD
i_tv80_core_F_reg_1_	0.000123953	46.373	30.9	0.878506	VDD
i_tv80_core_SP_reg_8_	5.54997e-05	39.639	20.1	0.878541	VDD
i_tv80_core_SP_reg_0_	4.92811e-05	29.945	20.1	0.877633	VDD
i_tv80_core_ACC_reg_0_	6.72124e-05	44.375	24.9	0.878506	VDD
i_tv80_core_I_reg_0_	4.4898e-05	44.893	21.3	0.878697	VDD
i_tv80_core_BusA_reg_0_	8.71263e-05	33.053	36.9	0.878693	VDD
i_tv80_core_ACC_reg_1_	6.87372e-05	44.079	23.7	0.878618	VDD
i_tv80_core_I_reg_1_	3.48084e-05	43.339	20.1	0.878569	VDD
i_tv80_core_SP_reg_2_	5.56014e-05	30.685	21.3	0.87793	VDD
i_tv80_core_ACC_reg_2_	5.77733e-05	47.853	24.9	0.878634	VDD
i_tv80_core_I_reg_2_	3.67966e-05	47.113	18.9	0.878659	VDD
i_tv80_core_SP_reg_3_	5.80102e-05	32.535	21.3	0.878024	VDD
i_tv80_core_ACC_reg_3_	7.37711e-05	46.595	24.9	0.878557	VDD
i_tv80_core_I_reg_3_	3.34502e-05	46.965	20.1	0.878767	VDD
i_tv80_core_F_reg_3_	4.67636e-05	46.521	32.1	0.878743	VDD
i_tv80_core_Fp_reg_3_	3.02089e-05	48.075	32.1	0.87889	VDD
i_tv80_core_SP_reg_4_	5.97745e-05	34.089	21.3	0.878061	VDD
i_tv80_core_ACC_reg_4_	6.26032e-05	46.447	23.7	0.878763	VDD
i_tv80_core_I_reg_4_	3.82562e-05	45.411	20.1	0.87881	VDD
i_tv80_core_BusA_reg_4_	0.000100302	33.645	41.7	0.878359	VDD
i_tv80_core_SP_reg_5_	5.52963e-05	34.385	22.5	0.878227	VDD
i_tv80_core_F_reg_5_	4.91904e-05	44.967	32.1	0.878715	VDD
i_tv80_core_Fp_reg_5_	2.73031e-05	48.075	32.1	0.87889	VDD
i_tv80_core_Fp_reg_6_	3.17545e-05	48.075	30.9	0.878619	VDD
