layer,x,y,voltage
M4,1.300,1.300,0.9500000000000011
M4,1.300,11.500,0.9500000000000002
M4,1.300,21.700,0.9499999999999997
M4,1.300,31.900,0.9500000000000016
M4,1.300,42.100,0.9500000000000005
M4,1.300,52.300,0.9499999999999995
M4,1.300,62.500,0.9500000000000028
M4,1.300,72.700,0.9499999999999995
M4,1.300,82.900,0.950000000000002
M4,1.300,93.100,0.950000000000001
M4,1.300,103.300,0.9500000000000017
M4,1.300,113.500,0.9499999999999993
M4,1.300,123.700,0.9500000000000008
M4,1.300,133.900,0.950000000000002
M4,1.300,144.100,0.9500000000000008
M4,1.300,154.300,0.9499999999999997
M4,1.300,164.500,0.9500000000000004
M4,1.300,174.700,0.9499999999999991
M4,1.300,184.900,0.9500000000000027
M4,1.300,195.100,0.9500000000000008
M4,1.300,205.300,0.9499999999999991
M4,1.300,215.500,0.9500000000000026
M4,1.300,225.700,0.949999999999998
M4,1.300,235.900,0.9499999999999994
M4,1.300,246.100,0.9499999999999978
M4,1.300,256.300,0.9500000000000013
M4,1.300,266.500,0.9500000000000022
M4,1.300,276.700,0.95
M4,1.300,286.900,0.9499999999999993
M4,1.300,297.100,0.9500000000000008
M4,1.300,307.300,0.9499999999999993
M4,1.300,317.500,0.9499999999999975
M4,1.300,327.700,0.9499999999999995
M4,1.300,337.900,0.9500000000000001
M4,1.300,348.100,0.9499999999999994
M4,1.300,358.300,0.9499999999999984
M4,1.300,368.500,0.9500000000000008
M4,1.300,378.700,0.9500000000000002
M4,11.500,1.300,0.95
M4,11.500,11.500,0.9499999999999995
M4,11.500,21.700,0.9500000000000003
M4,11.500,31.900,0.9499999999999995
M4,11.500,42.100,0.9500000000000001
M4,11.500,52.300,0.95
M4,11.500,62.500,0.9500000000000001
M4,11.500,72.700,0.9500000000000005
M4,11.500,82.900,0.9500000000000011
M4,11.500,93.100,0.95
M4,11.500,103.300,0.9500000000000006
M4,11.500,113.500,0.9500000000000003
M4,11.500,123.700,0.9500000000000008
M4,11.500,133.900,0.9500000000000005
M4,11.500,144.100,0.9499999999999997
M4,11.500,154.300,0.9500000000000011
M4,11.500,164.500,0.9500000000000008
M4,11.500,174.700,0.9500000000000008
M4,11.500,184.900,0.9500000000000003
M4,11.500,195.100,0.9500000000000011
M4,11.500,205.300,0.9500000000000008
M4,11.500,215.500,0.9500000000000012
M4,11.500,225.700,0.9500000000000005
M4,11.500,235.900,0.9500000000000011
M4,11.500,246.100,0.9500000000000008
M4,11.500,256.300,0.9500000000000006
M4,11.500,266.500,0.9500000000000006
M4,11.500,276.700,0.9500000000000005
M4,11.500,286.900,0.9500000000000011
M4,11.500,297.100,0.9500000000000006
M4,11.500,307.300,0.9500000000000006
M4,11.500,317.500,0.9500000000000008
M4,11.500,327.700,0.9500000000000008
M4,11.500,337.900,0.9500000000000003
M4,11.500,348.100,0.9500000000000005
M4,11.500,358.300,0.9500000000000001
M4,11.500,368.500,0.9500000000000003
M4,11.500,378.700,0.9500000000000001
M4,21.700,1.300,0.9500000000000004
M4,21.700,11.500,0.9500000000000001
M4,21.700,21.700,0.9500000000000001
M4,21.700,31.900,0.9500000000000004
M4,21.700,42.100,0.9500000000000003
M4,21.700,52.300,0.9500000000000003
M4,21.700,62.500,0.9500000000000003
M4,21.700,72.700,0.9500000000000003
M4,21.700,82.900,0.9500000000000004
M4,21.700,93.100,0.9500000000000004
M4,21.700,103.300,0.9500000000000004
M4,21.700,113.500,0.9500000000000003
M4,21.700,123.700,0.9500000000000006
M4,21.700,133.900,0.9500000000000004
M4,21.700,144.100,0.9500000000000003
M4,21.700,154.300,0.9500000000000004
M4,21.700,164.500,0.9500000000000006
M4,21.700,174.700,0.9500000000000001
M4,21.700,184.900,0.9500000000000003
M4,21.700,195.100,0.9500000000000003
M4,21.700,205.300,0.9500000000000004
M4,21.700,215.500,0.9500000000000004
M4,21.700,225.700,0.9500000000000004
M4,21.700,235.900,0.9500000000000003
M4,21.700,246.100,0.9500000000000006
M4,21.700,256.300,0.9500000000000004
M4,21.700,266.500,0.9500000000000003
M4,21.700,276.700,0.9500000000000001
M4,21.700,286.900,0.9500000000000003
M4,21.700,297.100,0.9500000000000003
M4,21.700,307.300,0.9500000000000004
M4,21.700,317.500,0.9500000000000003
M4,21.700,327.700,0.9500000000000004
M4,21.700,337.900,0.9500000000000003
M4,21.700,348.100,0.9500000000000004
M4,21.700,358.300,0.9500000000000004
M4,21.700,368.500,0.9500000000000003
M4,21.700,378.700,0.9500000000000003
M4,31.900,1.300,0.9500000000000001
M4,31.900,11.500,0.9500000000000001
M4,31.900,21.700,0.9500000000000001
M4,31.900,31.900,0.9499999999999998
M4,31.900,42.100,0.9500000000000001
M4,31.900,52.300,0.9499999999999998
M4,31.900,62.500,0.9500000000000001
M4,31.900,72.700,0.9499999999999998
M4,31.900,82.900,0.9499999999999998
M4,31.900,93.100,0.9500000000000001
M4,31.900,103.300,0.9499999999999998
M4,31.900,113.500,0.9499999999999998
M4,31.900,123.700,0.9499999999999998
M4,31.900,133.900,0.9500000000000001
M4,31.900,144.100,0.9499999999999998
M4,31.900,154.300,0.9499999999999998
M4,31.900,164.500,0.9499999999999998
M4,31.900,174.700,0.9499999999999998
M4,31.900,184.900,0.9500000000000001
M4,31.900,195.100,0.9500000000000002
M4,31.900,205.300,0.9500000000000001
M4,31.900,215.500,0.9499999999999998
M4,31.900,225.700,0.9499999999999998
M4,31.900,235.900,0.9499999999999998
M4,31.900,246.100,0.9500000000000001
M4,31.900,256.300,0.9500000000000001
M4,31.900,266.500,0.9500000000000001
M4,31.900,276.700,0.9499999999999998
M4,31.900,286.900,0.9499999999999996
M4,31.900,297.100,0.9500000000000002
M4,31.900,307.300,0.9499999999999998
M4,31.900,317.500,0.9499999999999998
M4,31.900,327.700,0.9499999999999998
M4,31.900,337.900,0.9500000000000001
M4,31.900,348.100,0.9500000000000001
M4,31.900,358.300,0.9499999999999996
M4,31.900,368.500,0.9499999999999998
M4,31.900,378.700,0.9499999999999998
M4,42.100,1.300,0.9500000000000002
M4,42.100,11.500,0.95
M4,42.100,21.700,0.9500000000000002
M4,42.100,31.900,0.9500000000000002
M4,42.100,42.100,0.9500000000000003
M4,42.100,52.300,0.9500000000000002
M4,42.100,62.500,0.9500000000000003
M4,42.100,72.700,0.9500000000000002
M4,42.100,82.900,0.95
M4,42.100,93.100,0.9500000000000002
M4,42.100,103.300,0.9500000000000002
M4,42.100,113.500,0.9500000000000003
